"beat_num","crimes"
"522",9
"624",8
"2532",8
"632",7
"1113",7
"1122",7
"1531",7
"414",6
"733",6
"835",6
"1532",6
"232",5
"413",5
"421",5
"424",5
"532",5
"611",5
"712",5
"824",5
"934",5
"1011",5
"1112",5
"1132",5
"1133",5
"1522",5
"1533",5
"1913",5
"2234",5
"2512",5
"2534",5
"213",4
"222",4
"321",4
"322",4
"324",4
"513",4
"623",4
"631",4
"725",4
"732",4
"924",4
"933",4
"1024",4
"1031",4
"1123",4
"1134",4
"1235",4
"1524",4
"1723",4
"2024",4
"2222",4
"2223",4
"2233",4
"2533",4
"223",3
"323",3
"511",3
"524",3
"533",3
"734",3
"735",3
"814",3
"823",3
"825",3
"832",3
"913",3
"921",3
"923",3
"925",3
"935",3
"1012",3
"1014",3
"1021",3
"1124",3
"1135",3
"1223",3
"1231",3
"1421",3
"1432",3
"1914",3
"2422",3
"2531",3
"215",2
"231",2
"313",2
"331",2
"332",2
"334",2
"411",2
"422",2
"423",2
"512",2
"613",2
"614",2
"622",2
"633",2
"634",2
"711",2
"713",2
"714",2
"723",2
"731",2
"822",2
"831",2
"1022",2
"1023",2
"1034",2
"1114",2
"1131",2
"1211",2
"1222",2
"1232",2
"1233",2
"1433",2
"1511",2
"1523",2
"1633",2
"1712",2
"1722",2
"1732",2
"2221",2
"2232",2
"2412",2
"2413",2
"2423",2
"2515",2
"2521",2
"2535",2
"122",1
"131",1
"132",1
"133",1
"211",1
"212",1
"214",1
"221",1
"312",1
"314",1
"412",1
"432",1
"434",1
"531",1
"612",1
"621",1
"715",1
"724",1
"726",1
"811",1
"813",1
"815",1
"821",1
"912",1
"922",1
"931",1
"1013",1
"1033",1
"1115",1
"1121",1
"1224",1
"1411",1
"1413",1
"1422",1
"1434",1
"1512",1
"1614",1
"1622",1
"1713",1
"1731",1
"1733",1
"1822",1
"1933",1
"2012",1
"2031",1
"2212",1
"2431",1
"2514",1
"2524",1
